
"CÓDIGO","PROCEDIMENTO",""
"0403020042","MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA",""
"0403020050","MICRONEUROLISE DE NERVO PERIFERICO",""
"0403020069","MICRONEURORRAFIA",""
"0403020077","NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS",""
"0403020085","NEURORRAFIA",""
"0403020093","NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS",""
"0403020107","TRANSPOSICAO DO NERVO CUBITAL",""
"0403020115","TRATAMENTO CIRURGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRURGIA",""
"0403020123","TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO",""
"0403020131","TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA",""
"0403030013","CRANIOTOMIA PARA BIOPSIA ENCEFALICA",""
"0403030021","CRANIOTOMIA PARA  BIOPSIA ENCEFALICA (COM TÉCNICA COMPLEMENTAR)",""
"0403030030","CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR",""
"0403030048","CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO",""
"0403030056","CRANIECTOMIA POR TUMOR OSSEO",""
"0403030064","HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR",""
"0403030080","MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR",""
"0403030099","MICROCIRURGIA DE TUMOR MEDULAR COM TECNICA COMPLEMENTAR",""
"0403030102","MICROCIRURGIA DE TUMOR MEDULAR",""
"0403030110","MICROCIRURGIA PARA BIOPSIA DE MEDULA ESPINHAL OU RAIZES",""
"0403030129","MICROCIRURGIA PARA TUMOR DA BASE DO CRANIO",""
"0403030137","MICROCIRURGIA PARA TUMOR DE ORBITA",""
"0403030145","MICROCIRURGIA PARA TUMOR INTRACRANIANO",""
"0403030153","MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR)",""
"0403030161","RESSECÇÃO DE TUMOR RAQUIMEDULAR EXTRADURAL",""
"0403030170","TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL",""
"0403040019","ANASTOMOSE VASCULAR EXTRA / INTRACRANIANA",""
"0403040027","DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS",""
"0403040051","MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL",""
"0403040060","MICROCIRURGIA PARA  MALFORMAÇÃO ARTERIO-VENOSA CEREBRAL PROFUNDA",""
"0403040078","MICROCIRURGIA VASCULAR INTRACRANIANA (COM TÉCNICA COMPLEMENTAR)",""
"0403040086","TRATAMENTO CIRURGICO DE FISTULA CAROTIDEO-CAVERNOSA",""
"0403040094","MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MAIOR QUE 1.5 CM",""
"0403040108","MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL POSTERIOR (MAIOR QUE 1.5 CM)",""
"0403040116","MICROCIRURGIA P/ARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MENOR QUE 1.5 CM",""
"0403040124","MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL POSTERIOR MENOR QUE 1.5 CM",""
"0403050014","ALCOOLIZAÇÃO DE NERVO CRANIANO",""
"0403050022","ALCOOLIZACAO DE TRIGEMIO",""
"0403050030","BLOQUEIOS PROLONGADOS DE SISTEMA NERVOSO PERIFERICO / CENTRAL COM BOMBA DE INFUSAO",""
"0403050049","CORDOTOMIA / MIELOTOMIA POR RADIOFREQUENCIA",""
"0403050057","IMPLANTE INTRATECAL DE BOMBA DE INFUSAO DE FARMACOS",""
"0403050065","MICROCIRURGIA COM CORDOTOMIA / MIELOTOMIA  A CEU ABERTO",""
"0403050073","MICROCIRURGIA COM RIZOTOMIA  A CEU ABERTO",""
"0403050081","NEUROTOMIA PERCUTANEA DE NERVOS PERIFERICOS POR AGENTES QUIMICOS",""
"0403050090","RIZOTOMIA PERCUTANEA COM BALÃO",""
"0403050103","RIZOTOMIA PERCUTANEA POR RADIOFREQUENCIA",""
"0403050111","SIMPATECTOMIA LOMBAR A CEU ABERTO",""
"0403050120","SIMPATECTOMIA LOMBAR VIDEOCIRURGICA",""
"0403050138","SIMPATECTOMIA TORACICA A CEU ABERTO",""
"0403050146","SIMPATECTOMIA TORACICA VIDEOCIRURGICA",""
"0403050154","TRATAMENTO DE LESAO DO SISTEMA NEUROVEGETATIVO POR AGENTES QUIMICOS",""
"0403050162","TRATAMENTO POR ESTERETAXIA DE LESÃO DE ESTRUTURA PROFUNDA DE SNC  PARA TRATATAMENTO DE MOV",""
"0403060010","EXPLORAÇÃO DIAGNÓSTICA CIRURGICA PARA IMPLANTAÇÃO BILATERAL DE ELETRODOS INVASIVOS (INCLUI VID",""
"0403060028","EXPLORAÇÃO DIAGNÓSTICA CIRURGICA PARA IMPLANTAÇÃO UNILATERAL DE ELETRODOS INVASIVOS (INCLUI V",""
"0403060036","MICROCIRURGIA PARA LESIONECTOMIA COM MONITORAMENTO INTRAOPERATORIO",""
"0403060044","MICROCIRURGIA PARA LESIONECTOMIA SEM MONITORAMENTO INTRA-OPERATORIO",""
"0403060052","MICROCIRURGIA PARA LOBECTOMIA TEMPORAL / AMIGDALO-HIPOCAMPECTOMIA SELETIVA",""
"0403060060","MICROCIRURGIA PARA RESSECCAO MULTILOBAR / HEMISFERECTOMIA / CALOSOTOMIA",""
"0403060079","MICROCIRURGIA PARA RESSECÇÃO UNILOBAR EXTRATEMPORAL COM MONITORAMENTO INTRAOPERATORIO",""
"0403060087","MICROCIRURGIA PARA RESSECCAO UNILOBAR EXTRATEMPORAL SEM MONITORAMENTO INTRA-OPERATORIO",""
"0403060095","TRANSECÇÕES SUB-PIAIS MULTIPLAS EM AREAS ELOQUENTES",""
"0403070015","ANGIOPLASTIA INTRACRANIANA EM VASO-ESPASMO",""
"0403070040","EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1.5 CM COM COLO ESTREITO",""
"0403070058","EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1.5 CM COM COLO LARGO",""
"0403070082","EMBOLIZAÇÃO DE FISTULA ARTERIO-VENOSA DA CABEÇA E PESCOÇO",""
"0403070090","EMBOLIZAÇÃO DE FISTULA CAROTIDO-CAVERNOSA COM BALÕES DESTACÁVEIS",""
"0403070104","EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA DURAL COMPLEXA DO SISTEMA NERVOSO CENTRAL",""
"0403070112","EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA DURAL SIMPLES DO SISTEMA NERVOSO CENTRAL",""
"0403070120","EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA INTRAPARENQUIMATOSA DO SISTEMA NERVOSO CENTRA",""
"0403070139","EMBOLIZAÇÃO DE TUMOR INTRA-CRANIANO OU DA CABEÇA E PESCOÇO",""
"0403070147","TRATAMENTO DE ANEURISMA GIGANTE POR OCLUSÃO DO VASO PORTADOR",""
"0403070155","EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR QUE 1.5 CM COM COLO ESTREITO",""
"0403070163","EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR DO QUE 1.5 CM COM COLO LARGO",""
"0403080010","IMPLANTE DE ELETRODO PARA ESTIMULAÇÃO CEREBRAL",""
"0403080029","IMPLANTE DE GERADOR DE PULSOS P/ARA ESTIMULAÇÃO CEREBRAL (INCLUI CONECTOR)",""
"0403080037","IMPLANTE INTRAVENTRICULAR DE BOMBA DE INFUSÃO DE FARMACOS",""
"0403080045","MIECTOMIA SUPERSELETIVA",""
"0403080053","NEUROTOMIA SUPERSELETIVA PARA MOVIMENTOS ANORMAIS",""
"0403080061","NUCLEOTRACTOMIA TRIGEMINAL E/OU ESPINAL",""
"0403080070","TRATAMENTO DE DOR POR ESTEREOTAXIA",""
"0403080088","TRATAMENTO DE MOVIMENTO ANORMAL POR ESTEREOTAXIA",""
"0403080096","TRATAMENTO DE MOVIMENTO ANORMAL POR ESTEREOTAXIA COM MICRO-REGISTRO",""
"0403080100","TROCA DE GERADOR DE PULSOS PARA ESTIMULAÇÃO CEREBRAL",""
"0404010016","ADENOIDECTOMIA",""
"0404010024","AMIGDALECTOMIA",""
"0404010032","AMIGDALECTOMIA C/ ADENOIDECTOMIA",""
"0404010040","ANTROTOMIA DA MASTOIDE (DRENAGEM DE OTITE NO LACTENTE)",""
"0404010059","DRENAGEM DE ABSCESSO FARINGEO",""
"0404010067","DRENAGEM DE ABSCESSO PERIAMIGDALIANO",""
"I","",""
